Role	Absence Days	Absence detail	Absence Instances	Absence Type	Age	Area	Bradford Index	Ccy	Cost of termination	Country	Current Bonus	Current Employee	Current Salary	Customer Satisfaction	Date of birth	Department	Engagement index	Expenses	FTE	Full time/Part time/Contract	Gender	Grade	Healthcare costs	How recruited	id	Leave Date	parentid	Monthly cost Including payroll taxes	NI or Tax number	Other benefits	Other Unique Identifier	Payroll taxes	Pension	Performance Ranking	Personal Performance	Prior period performance ranking	Reason for leaving	Recruitment cost	Relocation costs	Role Start Date	Sales targets	Share based payments	Start Date	Successor	Team Engagement	Tenure Years	Total annual compensation	Total benefits	Total payroll cost	Training Cost	Training Day	Hours Worked Per Week	Revenue	Years to retirement	Email	Full Name	positiontitle	favourite_colour
Sales Assistant	8		3		57.33	West	72	GBP		UK	0	Y	54910		08/05/1955	Sales	07/01/1900	0	1	Full time	Male	4	750	Advert	95		61	5274	GG380359H	0		7632	0	2		2		500		26/06/1994		0	07/09/2011			1.12	63292	750	54910			40	140785		Billy.Brooks@test.com	Billy Brooks	Developer	
Sales manager	7	Stress	4	Sickness	30.53	North	112	GBP		UK	107138	Y	114285	7.2	20/02/1982	Sales	07/01/1900	9000	1	Full time	Female	7	2500	Agency	62		58	22576	AE484028I	1500		30778	5714	8.1		6.075		16350		31/03/2003		0	05/10/2008	Yes	6.844444444	4.04	261915	9714	221423			40	99506		Deborah.Evans@test.com	Deborah Evans	Developer	
Sales person	6	Stress	3	Sickness	29.1	North	54	GBP		UK	110492	Y	87366		26/07/1983	Sales	06/01/1900	9369.56	1	Full time	Male	6	2000	Advert	80		62	19956	BI909334J	1000		27502	1747	6.7		6.7		500		25/10/2010		0	09/02/2008			4.69	230108	4747	197858			40	99506		Luke.Hardy@test.com	Luke Hardy	Developer	
Sales person	4		1		34.52	North	4	GBP		UK	16725	Y	81115		22/02/1978	Sales	06/01/1900	9000	1	Full time	Male	7	1500	Advert	81		62	10380	IE838411E	1000		13600	1622	8.4		6.3		500		15/02/2011		0	13/12/2010			1.85	115562	4122	97840			40	99506		Robert.Sullivan@test.com	Robert Sullivan	Developer	
Sales person	5		2		26.18	North	20	GBP		UK	45555	Y	83037		26/06/1986	Sales	06/01/1900	9000	1	Full time	Female	4	2000	Advert	82		62	13344	HC666274J	1000		17874	1661	5.1		3.825		500		27/08/2008		0	21/04/2010			2.5	151127	4661	128592			40	99506		Bethany.Banks@test.com	Bethany Banks	Developer	
Sales person	6		4		30.54	North	96	GBP		UK	71288	Y	84753		14/02/1982	Sales	07/01/1900	11859.64	1	Full time	Male	5	750	Agency	83		62	16086	JH10945E	1000		21690	1695	9.6		10		12900		24/08/2002		0	27/08/2009			3.15	181175	3445	156041			40	99506		Tom.Cox@test.com	Tom Cox	Developer	
Sales Assistant	0		0		59.79	North	#VALUE!	GBP		UK	0	Y	59518		24/11/1952	Sales	07/01/1900	0	1	Full time	Male	3	1500	Advert	96		62	5774	IE85134H	0		8273	0	8.8		6.6		500		09/01/2006		0	04/03/2008			4.63	69291	1500	59518			40	99506		Bennie.Andrews@test.com	Bennie Andrews	Developer	
Sales Assistant	5		1		59.27	North	5	GBP		UK	0	Y	51468		30/05/1953	Sales	06/01/1900	0	1	Full time	Male	3	1500	Advert	97		62	5010	BH489464B	0		7154	0	7		7.7		500		06/05/2002		0	19/07/2007			5.25	60122	1500	51468			40	99506		Owen.Oliver@test.com	Owen Oliver	Developer	
Sales Assistant	0	Upper limb	0	Sickness	60.09	North	#VALUE!	GBP		UK	0	Y	57018		05/08/1952	Sales	06/01/1900	0	1	Full time	Female	4	750	Agency	98		62	5474	FG395060E	0		7926	0	5.9		7.307		8850		21/10/1999		0	09/06/2011			1.36	65694	750	57018			40	99506		Leslie.Webb@test.com	Leslie Webb	Developer	
Sales Assistant	7		5		59.93	North	175	GBP		UK	0	Y	54090		04/10/1952	Sales	07/01/1900	0	1	Full time	Male	3	2500	Agency	99		62	5342	ED667059E	0		7519	0	5.4		6.75		7950		16/01/1990		0	24/09/2010			2.07	64108	2500	54090			40	99506		Benjamin.Wall@test.com	Benjamin Wall	Developer	
Sales Assistant	0	Back pain	0	Sickness	26.19	North	#VALUE!	GBP		UK	0	Y	57719		20/06/1986	Sales	07/01/1900	0	1	Full time	Female	4	750	Agency	100		62	5541	HF861053G	0		8023	0	7		6.298		7950		08/06/2009		0	06/01/2008			4.79	66491	750	57719			40	99506		Audrey.Newton@test.com	Audrey Newton	Developer	
Head of Research	4	Upper limb	1	Sickness	47.65	Birmingham	4	GBP		UK	50742	Y	165445	7.6	08/01/1965	R&D	07/01/1900	18000	1	Full time	Male	9	1000	Agency	1234		1	23345	DE653159G	2500		30050	12408	7.5		9.375		22650		04/06/1998		60000	03/11/2010	No	6.966	1.96	262146	15908	216187			40	138845		James.Porter@test.com	James Porter	Developer	
Programme Manager	4		1		41.15	Birmingham	4	GBP		UK	21619	Y	112111	5.1	12/07/1971	R&D	06/01/1900	15000	1	Full time	Female	7	1000	Advert	1235		1234	14577	BE321165H	1000		18588	5606	5.2		5.2		500		30/06/2009		0	30/06/2012	No	6.62625	0.3	159924	7606	133730			40	138845		Isobel.Brennan@test.com	Isobel Brennan	Developer	
Programme Manager	7		4		65.18	Birmingham	112	GBP		UK	15723	Y	98353	8.2	04/07/1947	R&D	06/01/1900	15000	1	Full time	Male	7	1000	Agency	1237		1235	12654	FG190285E	1000		15856	4918	7.1		5.325		13500		07/04/1990		0	26/02/2008	Yes	6.905	4.65	136849	6918	114075			40	138845		Thomas.Gurrola@test.com	Thomas Gurrola	Developer	
Project Manager	0	Long-term treatment	0	Sickness	63.97	Birmingham	#VALUE!	GBP		UK	3500	Y	35000	5.3	20/09/1948	R&D	07/01/1900	19170.77	1	Full time	Female	6	750	Advert	1250		1237	5502	BE860305G	500		5352	1750	5.2		5.2		500		12/03/1995		0	12/06/2008	No	6.8275	4.35	46852	3000	38500			40	138845		Kate.Norris@test.com	Kate Norris	Developer	
Research Level 4	11		8		41.87	Birmingham	704	GBP		UK	7566	Y	65131		22/10/1970	R&D	05/01/1900	0	1	Full time	Female	5	2000	Agency	1273		1250	7230	IA845834F	0		10105	1954	2		2		4950		31/10/2008		0	07/08/2009			3.2	86755	3954	72697			40	138845		Susan.Thompson@test.com	Susan Thompson	Developer	
Research Level 1	7	Injury	4	Sickness	60.15	Birmingham	112	GBP		UK	0	Y	34748		15/07/1952	R&D	07/01/1900	0	1	Full time	Female	2	750	Agency	1296		1250	3419	ID728630B	0		4830	695	8.3		6.425		6600		05/08/1990		0	22/11/2006			5.91	41023	1445	34748			40	138845		Lucy.Ward@test.com	Lucy Ward	Developer	
Research Level 2	6	Back pain	4	Sickness	39.19	Birmingham	96	GBP		UK	3702	Y	47212		23/06/1973	R&D	08/01/1900	0	1	Full time	Male	3	750	Agency	1319		1250	4974	IC383859A	0		7077	944	8.9		6.675		7050		26/06/2009		0	21/02/2010			2.66	59685	1694	50914			40	138845		Danny.Lucas@test.com	Danny Lucas	Developer	
Research Level 4	8		4		47.42	Birmingham	128	GBP		UK	5177	Y	60354		02/04/1965	R&D	07/01/1900	0	1	Full time	Female	5	2000	Advert	1347		1250	6538	AG288334F	0		9109	1811	2.9		3.625		500		25/02/1993		0	22/10/2006			5.99	78450	3811	65531			40	138845		Susan.Zuniga@test.com	Susan Zuniga	Developer	
Research Level 3	12		5		46.58	Birmingham	300	GBP		UK	4154	Y	51156		03/02/1966	R&D	04/01/1900	0	1	Full time	Male	4	1000	Advert	1370		1250	5418	HG97648G	0		7688	1023	0.1		2		500		26/12/2010		0	20/04/2007			5.5	65022	2023	55311			40	138845		Dustin.Altamirano@test.com	Dustin Altamirano	Developer	
Research Level 2	5		1		45.13	Birmingham	5	GBP		UK	4527	Y	52161		18/07/1967	R&D	07/01/1900	0	1	Full time	Male	3	750	Advert	1393		1250	5530	ED463011I	0		7880	1043	4.9		6.125		500		30/03/2000		0	10/06/2007			5.36	66361	1793	56688			40	138845		Max.Knowles@test.com	Max Knowles	Developer	
Research Level 4	6		2		41.01	Birmingham	24	GBP		UK	9297	Y	68595		01/09/1971	R&D	06/01/1900	0	1	Full time	Male	5	1500	Advert	1416		1250	7690	BD432796G	0		10827	2058	0.6		2		500		21/04/2009		0	29/11/2007			4.89	92277	3558	77892			40	138845		Dominic.Wilkinson@test.com	Dominic Wilkinson	Developer	
Research Level 5	0	Upper limb	0	Sickness	64.68	Birmingham	#VALUE!	GBP		UK	22511	Y	77511		05/01/1948	R&D	06/01/1900	00/01/1900	1	Full time	Male	6	2000	Advert	1439		1250	9919	BG482851B	0		13903	3100	4.5		3.375		500		12/08/2005		0	16/02/2010			2.67	119026	5100	100023			40	138845		Robert.Benavides@test.com	Robert Benavides	Developer	
Project Manager	0		0		64.99	Birmingham	#VALUE!	GBP		UK	2613	Y	60227	6	12/09/1947	R&D	07/01/1900	12/04/1949	1	Full time	Male	6	2000	Advert	1251		1237	7924	IF632744C	500		8735	3011	8.5		6.375		500		24/01/2006		0	23/11/2007	No	6.82125	4.91	77087	5511	62840			40	138845		Connor.Morton@test.com	Connor Morton	Developer	
Research Level 5	7		3		44.43	Birmingham	63	GBP		UK	15419	Y	70419		31/03/1968	R&D	05/01/1900	0	1	Full time	Female	6	2000	Agency	1274		1251	8549	FI696542E	0		11931	2817	3.5		4.233		4950		29/12/2000		0	31/03/2009			3.55	102585	4817	85837			40	138845		Charlotte.Bowen@test.com	Charlotte Bowen	Developer	
Research Level 4	3		1		63.31	Birmingham	3	GBP		UK	8764	Y	67528		18/05/1949	R&D	07/01/1900	0	1	Full time	Male	5	1500	Agency	1297		1251	7535	AB754364I	0		10605	2026	5.2		5.2		7350		25/10/1994		0	17/07/2011			1.26	90423	3526	76293			40	138845		Raymond.Cain@test.com	Raymond Cain	Developer	
Research Level 5	7		5		63.92	Birmingham	175	GBP		UK	20199	Y	75199		09/10/1948	R&D	07/01/1900	0	1	Full time	Female	6	2500	Advert	1320		1251	9514	ID737811C	0		13260	3008	4.6		5.75		500		07/09/2007		0	21/11/2006			5.91	114166	5508	95398			40	138845		Ava.Henry@test.com	Ava Henry	Developer	
Research Level 3	8		3		44.78	Birmingham	72	GBP		UK	4596	N	54471		23/11/1967	R&D	06/01/1900	0	1	Full time	Male	4	1000	Advert	1348	03/02/2012	1251	5781	IB30610D	0		8210	1089	2.2		2.2	Performance	500		03/09/1989		0	30/06/2011			0.6	69367	2089	59067			40	138845		Michael.Mora@test.com	Michael Mora	Developer	
Research Level 3	5		2		39.75	Birmingham	20	GBP		UK	5246	Y	59345		03/12/1972	R&D	06/01/1900	0	1	Full time	Male	4	1000	Agency	1371		1251	6313	HF887461B	0		8978	1187	7.6		7.6		9000		03/04/1999		0	24/09/2009			3.07	75756	2187	64591			40	138845		Jordan.Brooks@test.com	Jordan Brooks	Developer	
Research Level 4	7		4		63.26	Birmingham	112	GBP		UK	8547	Y	67095		05/06/1949	R&D	07/01/1900	0	1	Full time	Male	5	1500	Internal	1394		1251	7472	EB861085C	0		10514	2013	4.5		4.5		0	0	12/06/1995		0	27/08/2007			5.15	89670	3513	75642			40	138845		Archie.Gallagher@test.com	Archie Gallagher	Developer	
Research Level 2	9		4		45.3	Birmingham	144	GBP		UK	2650	Y	40901		18/05/1967	R&D	05/01/1900	0	1	Full time	Female	3	750	Agency	1417		1251	4264	ID812781E	0		6054	818	6.2		4.65		10200		15/03/1992		0	24/03/2007			5.58	51172	1568	43551			40	138845		Mary.Ward@test.com	Mary Ward	Developer	
Research Level 1	8		3		38.22	Birmingham	72	GBP		UK	0	Y	32694		13/06/1974	R&D	06/01/1900	0	1	Full time	Male	2	750	Advert	1440		1251	3220	IG82222F	0		4545	654	5.2		3.9		500		13/01/1998		0	27/03/2009			3.56	38643	1404	32694			40	138845		John.Taylor@test.com	John Taylor	Developer	
